label,string,result,time,size
periodo smart, fill random,55563,0.00243875,55563
periodo naive, fill with period,51256,0.0394065,55563
periodo smart, fill with period,51256,0.00232112,55563
periodo naive, fill worst case,55563,24.0036,55563
periodo smart, fill worst case,55563,0.00258904,55563
periodo naive, fill random,59163,0.0453802,59163
periodo smart, fill random,59163,0.00248808,59163
periodo naive, fill with period,1987,0.00232121,59163
periodo smart, fill with period,1987,0.00185721,59163
periodo naive, fill worst case,59163,27.2187,59163
periodo smart, fill worst case,59163,0.00276763,59163
periodo naive, fill random,62996,0.110226,62996
periodo smart, fill random,62996,0.00274612,62996
periodo naive, fill with period,394,0.00127588,62996
periodo smart, fill with period,394,0.00197117,62996
periodo naive, fill worst case,62996,30.8595,62996
periodo smart, fill worst case,62996,0.00293504,62996
periodo naive, fill random,67077,0.10349,67077
periodo smart, fill random,67077,0.00275225,67077
periodo naive, fill with period,54685,0.0467486,67077
periodo smart, fill with period,54685,0.00271475,67077
periodo naive, fill worst case,67077,34.9883,67077
periodo smart, fill worst case,67077,0.00312908,67077
periodo naive, fill random,71422,0.0639148,71422
periodo smart, fill random,71422,0.00295033,71422
periodo naive, fill with period,2330,0.00304738,71422
periodo smart, fill with period,2330,0.00223996,71422
periodo naive, fill worst case,71422,39.7718,71422
periodo smart, fill worst case,71422,0.00333104,71422
periodo naive, fill random,76050,0.0712585,76050
periodo smart, fill random,76050,0.003262,76050
periodo naive, fill with period,4690,0.00535825,76050
periodo smart, fill with period,4690,0.00248683,76050
periodo naive, fill worst case,76050,44.9637,76050
periodo smart, fill worst case,76050,0.00356979,76050
periodo naive, fill random,80977,0.0810623,80977
periodo smart, fill random,80977,0.00352242,80977
periodo naive, fill with period,80366,0.084268,80977
periodo smart, fill with period,80366,0.00339763,80977
periodo naive, fill worst case,80977,50.9886,80977
periodo smart, fill worst case,80977,0.00386163,80977
periodo naive, fill random,86221,0.090266,86223
periodo smart, fill random,86221,0.00357792,86223
periodo naive, fill with period,41962,0.0444025,86223
periodo smart, fill with period,41962,0.003176,86223
periodo naive, fill worst case,86223,57.8115,86223
periodo smart, fill worst case,86223,0.00401517,86223
periodo naive, fill random,91809,0.135223,91809
periodo smart, fill random,91809,0.00385496,91809
periodo naive, fill with period,8909,0.0108499,91809
periodo smart, fill with period,8909,0.00298796,91809
periodo naive, fill worst case,91809,65.8364,91809
periodo smart, fill worst case,91809,0.00448946,91809
periodo naive, fill random,97757,0.16221,97757
periodo smart, fill random,97757,0.00425425,97757
periodo naive, fill with period,11635,0.0203121,97757
periodo smart, fill with period,11635,0.00341862,97757
periodo naive, fill worst case,97757,74.8986,97757
periodo smart, fill worst case,97757,0.00457346,97757
periodo naive, fill random,104090,0.221604,104090
periodo smart, fill random,104090,0.00429479,104090
periodo naive, fill with period,67287,0.0837709,104090
periodo smart, fill with period,67287,0.00406529,104090
periodo naive, fill worst case,104090,85.5986,104090
periodo smart, fill worst case,104090,0.00486133,104090
periodo naive, fill random,110833,0.145246,110834
periodo smart, fill random,110833,0.00473833,110834
periodo naive, fill with period,94172,0.124162,110834
periodo smart, fill with period,94172,0.00454458,110834
periodo naive, fill worst case,110834,95.582,110834
periodo smart, fill worst case,110834,0.00516554,110834
periodo naive, fill random,118014,0.164359,118014
periodo smart, fill random,118014,0.00513154,118014
periodo naive, fill with period,38024,0.0540868,118014
periodo smart, fill with period,38024,0.00407904,118014
periodo naive, fill worst case,118014,109.213,118014
periodo smart, fill worst case,118014,0.00550962,118014
periodo naive, fill random,125660,0.211189,125660
periodo smart, fill random,125660,0.00514929,125660
periodo naive, fill with period,28559,0.0442297,125660
periodo smart, fill with period,28559,0.00418779,125660
periodo naive, fill worst case,125660,124.072,125660
periodo smart, fill worst case,125660,0.00593154,125660
periodo naive, fill random,133800,0.243419,133801
periodo smart, fill random,133800,0.00579629,133801
periodo naive, fill with period,94984,0.191348,133801
periodo smart, fill with period,94984,0.00533238,133801
periodo naive, fill worst case,133801,141.989,133801
periodo smart, fill worst case,133801,0.00628817,133801
periodo naive, fill random,142470,0.301607,142470
periodo smart, fill random,142470,0.00601125,142470
periodo naive, fill with period,57883,0.138346,142470
periodo smart, fill with period,57883,0.005068,142470
periodo naive, fill worst case,142470,158.895,142470
periodo smart, fill worst case,142470,0.00671517,142470
periodo naive, fill random,151700,0.361736,151700
periodo smart, fill random,151700,0.00649592,151700
periodo naive, fill with period,91759,0.200136,151700
periodo smart, fill with period,91759,0.00580287,151700
periodo naive, fill worst case,151700,180.692,151700
periodo smart, fill worst case,151700,0.00710942,151700
periodo naive, fill random,161527,0.364475,161528
periodo smart, fill random,161527,0.00676712,161528
periodo naive, fill with period,73750,0.1671,161528
periodo smart, fill with period,73750,0.00602562,161528
periodo naive, fill worst case,161528,205.265,161528
periodo smart, fill worst case,161528,0.00752792,161528
periodo naive, fill random,171991,0.441226,171992
periodo smart, fill random,171991,0.00752292,171992
periodo naive, fill with period,58601,0.141505,171992
periodo smart, fill with period,58601,0.00620463,171992
periodo naive, fill worst case,171992,230.594,171992
periodo smart, fill worst case,171992,0.00800292,171992
periodo naive, fill random,183135,0.463948,183135
periodo smart, fill random,183135,0.00772863,183135
periodo naive, fill with period,104050,0.307347,183135
periodo smart, fill with period,104050,0.00697575,183135
periodo naive, fill worst case,183135,261.271,183135
periodo smart, fill worst case,183135,0.00852388,183135
periodo naive, fill random,195000,0.513289,195000
periodo smart, fill random,195000,0.00814154,195000
periodo naive, fill with period,170560,0.472848,195000
periodo smart, fill with period,170560,0.00796171,195000
periodo naive, fill worst case,195000,296.57,195000
periodo smart, fill worst case,195000,0.00916404,195000
periodo naive, fill random,207633,0.596619,207633
periodo smart, fill random,207633,0.00874767,207633
periodo naive, fill with period,194904,0.630547,207633
periodo smart, fill with period,194904,0.00870158,207633
periodo naive, fill worst case,207633,339.233,207633
periodo smart, fill worst case,207633,0.00988371,207633
periodo naive, fill random,221081,0.797741,221085
periodo smart, fill random,221081,0.00941892,221085
periodo naive, fill with period,212607,0.779494,221085
periodo smart, fill with period,212607,0.0095365,221085
periodo naive, fill worst case,221085,390.149,221085
periodo smart, fill worst case,221085,0.0104397,221085
periodo naive, fill random,235408,0.926462,235408
periodo smart, fill random,235408,0.00991071,235408
periodo naive, fill with period,13390,0.0494348,235408
periodo smart, fill with period,13390,0.00771096,235408
periodo naive, fill worst case,235408,444.33,235408
periodo smart, fill worst case,235408,0.0111033,235408
periodo naive, fill random,250659,1.00157,250659
periodo smart, fill random,250659,0.0108277,250659
periodo naive, fill with period,8604,0.0337806,250659
periodo smart, fill with period,8604,0.00805508,250659
periodo naive, fill worst case,250659,490.657,250659
periodo smart, fill worst case,250659,0.0117515,250659
periodo naive, fill random,266897,1.02094,266898
periodo smart, fill random,266897,0.0114723,266898
periodo naive, fill with period,253616,0.966244,266898
periodo smart, fill with period,253616,0.011315,266898
periodo naive, fill worst case,266898,558.973,266898
periodo smart, fill worst case,266898,0.0131335,266898
periodo naive, fill random,284189,1.39002,284190
periodo smart, fill random,284189,0.0126281,284190
periodo naive, fill with period,254890,1.2397,284190
periodo smart, fill with period,254890,0.012372,284190
periodo naive, fill worst case,284190,632.126,284190
periodo smart, fill worst case,284190,0.0133384,284190
periodo naive, fill random,302601,1.34512,302601
periodo smart, fill random,302601,0.0131087,302601
periodo naive, fill with period,149013,0.666613,302601
periodo smart, fill with period,149013,0.0110759,302601
periodo naive, fill worst case,302601,1447.09,302601
periodo smart, fill worst case,302601,0.01416,302601
