label,string,result,time,size
periodo smart, fill random,1944,2.505e-05,1944
periodo naive, fill with period,11,5.675e-05,1944
periodo smart, fill with period,11,2.554e-05,1944
periodo naive, fill random,2022,0.0090252,2022
periodo smart, fill random,2022,2.568e-05,2022
periodo naive, fill with period,14,7.285e-05,2022
periodo smart, fill with period,14,2.474e-05,2022
periodo naive, fill random,2102,0.0091041,2102
periodo smart, fill random,2102,2.594e-05,2102
periodo naive, fill with period,14,6.82e-05,2102
periodo smart, fill with period,14,2.486e-05,2102
periodo naive, fill random,2186,0.0097107,2186
periodo smart, fill random,2186,2.618e-05,2186
periodo naive, fill with period,24,0.00011455,2186
periodo smart, fill with period,24,2.516e-05,2186
periodo naive, fill random,2273,0.00965975,2273
periodo smart, fill random,2273,2.654e-05,2273
periodo naive, fill with period,12,5.855e-05,2273
periodo smart, fill with period,12,2.542e-05,2273
periodo naive, fill random,2364,0.00997765,2364
periodo smart, fill random,2364,2.5275e-05,2364
periodo naive, fill with period,23,0.0001036,2364
periodo smart, fill with period,23,2.576e-05,2364
periodo naive, fill random,2459,0.0101776,2459
periodo smart, fill random,2459,2.5725e-05,2459
periodo naive, fill with period,15,6.985e-05,2459
periodo smart, fill with period,15,2.8425e-05,2459
periodo naive, fill random,2557,0.0104218,2557
periodo smart, fill random,2557,3.34667e-05,2557
periodo naive, fill with period,21,9.42e-05,2557
periodo smart, fill with period,21,2.675e-05,2557
periodo naive, fill random,2659,0.0106552,2659
periodo smart, fill random,2659,3.00429e-05,2659
periodo naive, fill with period,20,8.79e-05,2659
periodo smart, fill with period,20,2.505e-05,2659
periodo naive, fill random,2764,0.0110225,2765
periodo smart, fill random,2764,2.675e-05,2765
periodo naive, fill with period,1,2.456e-05,2765
periodo smart, fill with period,1,2.54e-05,2765
periodo naive, fill random,2875,0.0112694,2875
periodo smart, fill random,2875,2.71e-05,2875
periodo naive, fill with period,25,0.00010495,2875
periodo smart, fill with period,25,2.62e-05,2875
periodo naive, fill random,2990,0.0116733,2990
periodo smart, fill random,2990,2.7575e-05,2990
periodo naive, fill with period,6,4.64e-05,2990
periodo smart, fill with period,6,2.6125e-05,2990
periodo naive, fill random,3108,0.0115438,3109
periodo smart, fill random,3108,2.79e-05,3109
periodo naive, fill with period,15,6.45e-05,3109
periodo smart, fill with period,15,2.645e-05,3109
periodo naive, fill random,3233,0.0119185,3233
periodo smart, fill random,3233,2.975e-05,3233
periodo naive, fill with period,22,8.96e-05,3233
periodo smart, fill with period,22,2.925e-05,3233
periodo naive, fill random,3362,0.0120204,3362
periodo smart, fill random,3362,2.8825e-05,3362
periodo naive, fill with period,5,3.62e-05,3362
periodo smart, fill with period,5,3.96e-05,3362
periodo naive, fill random,3496,0.0124288,3496
periodo smart, fill random,3496,3.405e-05,3496
periodo naive, fill with period,15,6.305e-05,3496
periodo smart, fill with period,15,3.1675e-05,3496
periodo naive, fill random,3636,0.0127559,3636
periodo smart, fill random,3636,2.98e-05,3636
periodo naive, fill with period,15,6.035e-05,3636
periodo smart, fill with period,15,2.81e-05,3636
periodo naive, fill random,3781,0.0126635,3781
periodo smart, fill random,3781,3.76e-05,3781
periodo naive, fill with period,11,5.035e-05,3781
periodo smart, fill with period,11,3.62333e-05,3781
periodo naive, fill random,3932,0.012914,3932
periodo smart, fill random,3932,3.1e-05,3932
periodo naive, fill with period,5,3.48e-05,3932
periodo smart, fill with period,5,2.9025e-05,3932
periodo naive, fill random,4089,0.0130361,4089
periodo smart, fill random,4089,3.15e-05,4089
periodo naive, fill with period,13,5.06e-05,4089
periodo smart, fill with period,13,2.95e-05,4089
periodo naive, fill random,4252,0.0130047,4252
periodo smart, fill random,4252,3.58e-05,4252
periodo naive, fill with period,20,7.305e-05,4252
periodo smart, fill with period,20,3.7025e-05,4252
periodo naive, fill random,4421,0.0129601,4421
periodo smart, fill random,4421,3.2725e-05,4421
periodo naive, fill with period,18,6.285e-05,4421
periodo smart, fill with period,18,3.0525e-05,4421
periodo naive, fill random,4598,0.0134536,4598
periodo smart, fill random,4598,3.3225e-05,4598
periodo naive, fill with period,12,5.91667e-05,4598
periodo smart, fill with period,12,3.11e-05,4598
periodo naive, fill random,4781,0.0131438,4781
periodo smart, fill random,4781,3.6475e-05,4781
periodo naive, fill with period,18,6.035e-05,4781
periodo smart, fill with period,18,3.4025e-05,4781
periodo naive, fill random,4972,0.0130242,4972
periodo smart, fill random,4972,3.75e-05,4972
periodo naive, fill with period,13,5.96e-05,4972
periodo smart, fill with period,13,3.23e-05,4972
periodo naive, fill random,5170,0.0127244,5170
periodo smart, fill random,5170,9.605e-05,5170
periodo naive, fill with period,24,7.125e-05,5170
periodo smart, fill with period,24,9.08e-05,5170
periodo naive, fill random,5377,0.0125381,5377
periodo smart, fill random,5377,9.28e-05,5377
periodo naive, fill with period,10,4.66333e-05,5377
periodo smart, fill with period,10,8.935e-05,5377
periodo naive, fill random,5590,0.0125028,5591
periodo smart, fill random,5590,0.0001131,5591
periodo naive, fill with period,6,4.20667e-05,5591
periodo smart, fill with period,6,8.995e-05,5591
periodo naive, fill random,5812,0.0122865,5814
periodo smart, fill random,5812,0.000124767,5814
periodo naive, fill with period,13,5.21e-05,5814
periodo smart, fill with period,13,9.04e-05,5814
periodo naive, fill random,6046,0.0118546,6046
periodo smart, fill random,6046,0.0001001,6046
periodo naive, fill with period,22,5.685e-05,6046
periodo smart, fill with period,22,9.525e-05,6046
periodo naive, fill random,6288,0.0112722,6288
periodo smart, fill random,6288,9.495e-05,6288
periodo naive, fill with period,24,5.53e-05,6288
periodo smart, fill with period,24,9.17e-05,6288
periodo naive, fill random,6538,0.0110334,6538
periodo smart, fill random,6538,9.58e-05,6538
periodo naive, fill with period,20,6.09333e-05,6538
periodo smart, fill with period,20,9.23e-05,6538
periodo naive, fill random,6799,0.0102106,6799
periodo smart, fill random,6799,9.905e-05,6799
periodo naive, fill with period,16,4.92e-05,6799
periodo smart, fill with period,16,9.3e-05,6799
periodo naive, fill random,7071,0.00957335,7071
periodo smart, fill random,7071,9.855e-05,7071
periodo naive, fill with period,5,3.035e-05,7071
periodo smart, fill with period,5,9.625e-05,7071
periodo naive, fill random,7353,0.0087327,7353
periodo smart, fill random,7353,0.0001019,7353
periodo naive, fill with period,10,3.39333e-05,7353
periodo smart, fill with period,10,9.44e-05,7353
periodo naive, fill random,7646,0.0075953,7646
periodo smart, fill random,7646,9.97e-05,7646
periodo naive, fill with period,5,2.8875e-05,7646
periodo smart, fill with period,5,9.755e-05,7646
periodo naive, fill random,7951,0.00644065,7951
periodo smart, fill random,7951,0.0001325,7951
